Year,Rhine
1807,864.884
1808,1033.141
1809,826.9233
1810,1018.777
1811,1118.296
1812,1100.854
1813,978.7654
1814,1132.659
1815,1291.683
1816,1466.096
1817,964.4021
1818,819.7417
1819,954.1426
1820,1092.646
1821,945.9348
1822,1037.244
1823,1143.944
1824,1112.139
1825,895.6628
1826,1075.206
1827,1043.401
1828,888.4812
1829,1044.426
1830,1271.164
1831,809.4822
1832,918.2339
1833,961.3242
1834,844.3647
1835,890.533
1836,1163.438
1837,986.9731
1838,1054.686
1839,895.6628
1840,1097.776
1841,915.156
1842,1179.853
1843,1119.321
1844,1043.401
1845,1237.307
1846,1180.879
1847,872.0657
1848,957.2205
1849,1079.309
1850,1173.697
1851,1083.413
1852,1239.359
1853,851.5464
1854,1177.801
1855,954.1426
1856,783.833
1857,701.7563
1858,872.0657
1859,1228.073
1860,1043.401
1861,851.5464
1862,903.8704
1863,961.3242
1864,762.2881
1865,960.2981
1866,1260.904
1867,1006.466
1868,1010.57
1869,795.1187
1870,1004.414
1871,915.156
1872,1021.855
1873,836.157
1874,846.4167
1875,1347.084
1876,1164.464
1877,1139.841
1878,1138.814
1879,919.2598
1880,1170.619
1881,871.0396
1882,1256.801
1883,903.8704
1884,679.1853
1885,978.7654
1886,849.4946
1887,1131.633
1888,1062.894
1889,998.2588
1890,1006.466
1891,1047.504
1892,805.3784
1893,798.1965
1894,846.4167
1895,1128.556
1896,1354.266
1897,972.6099
1898,955.1685
1899,949.0127
1899,1016.726
1901,1054.686
1902,972.6099
1903,1018.777
1904,1004.414
1905,1115.218
1906,966.4541
1907,949.0127
1908,818.7158
1909,1368.629
1910,974.6616
1911,1069.049
1912,1066.998
1913,1303.994
1914,1100.854
1915,1196.269
1916,1149.074
1917,935.6753
1918,1123.426
1919,1111.114
1920,610.446
1921,1152.152
1922,1103.932
1923,1265.008
1924,796.1448
1925,1178.827
1926,1207.554
1927,944.9089
1928,928.4934
1929,1032.114
1930,1395.304
1931,983.8953
1932,925.4155
1933,805.3784
1934,1081.361
1935,1331.696
1936,1242.437
1937,996.2068
1938,1091.621
1939,1395.304
1940,1172.671
1941,920.2859
1942,809.4822
1943,867.9619
1944,1234.229
1945,1057.764
1946,759.2102
1947,1085.464
1948,653.5364
1949,776.6514
1950,1180.879
1951,976.7136
1952,1193.191
1953,939.7791
1954,1287.579
1955,1070.076
1956,1059.816
